epoch,train_loss,val_loss
1,41.4551879217151,41.63107767755093
2,39.603175248564014,39.811011155213556
3,37.84966594242072,38.09408646400218
4,36.1884921032522,36.46367720117176
5,34.61571455758134,34.91370606900516
6,33.129556212623314,33.469456441420874
7,31.721444167248336,32.09946209948543
8,30.393235161692008,30.816459815251292
9,29.134609236400753,29.61302572213641
10,27.94747738409899,28.47625450359773
11,26.821277411584774,27.390271976587684
12,25.75645736995795,26.37822979404854
13,24.75129854978107,25.41993772659454
14,23.806605186501148,24.508715839755016
15,22.913883486616598,23.683243180492678
16,22.075973451816704,22.89367811580874
17,21.28021198290524,22.156504511605572
18,20.5319247207559,21.463478246315542
19,19.83253248178182,20.817983159313485
20,19.171245767947152,20.2033174861282
21,18.548395530579022,19.63203428789797
22,17.96654795372635,19.08520499411417
23,17.41322518127476,18.580145885599407
24,16.894449571852977,18.10971337201704
25,16.41102160800396,17.6765630077237
26,15.957072968117037,17.267093952914767
27,15.5320240149571,16.886875684448757
28,15.127796665505139,16.5317086273397
29,14.753929601015152,16.204987392176452
30,14.406844098529682,15.894608245826548
31,14.08408511839136,15.617264987502372
32,13.778986346636849,15.344012339953252
33,13.496871041207172,15.089687872134235
34,13.226558245433333,14.854000564217364
35,12.980881136506644,14.641078057018447
36,12.734178068575384,14.448642901556765
37,12.514281071127828,14.265707333026928
38,12.312323454186235,14.1005524977917
39,12.11915457422064,13.939810010219821
40,11.939637199685786,13.805591818597449
41,11.771718337044312,13.682864123200345
42,11.614361597656913,13.557731959899733
43,11.463995661050653,13.451771674212015
44,11.332155310407327,13.342101493538483
45,11.206757580671503,13.255248972149076
46,11.087423451879243,13.171297751238415
47,10.973930480827535,13.094428368062188
48,10.86953782835096,13.02579392661655
49,10.756151256286312,12.955634539157668
50,10.66244792834178,12.89304109055554
51,10.571687947014945,12.836240832217664
52,10.48590057416431,12.79375565936099
53,10.394273362670518,12.754862677340428
54,10.303694793799735,12.726961753717479
55,10.232353262577794,12.672879589581232
56,10.149374182862925,12.631883105545613
57,10.073370525204997,12.602323166031466
58,10.003365919606088,12.556610377584521
59,9.939760320276212,12.522736128013198
